
31-DEC-15

"PERMIT","PROCESSOR NAME","PLANT LOCATION","ENDORSEMENT","PRIMARY OWNER","ADDRESS 1","ADDRESS 2","CITY","STATE","ZIP CODE"

"18671","BERING PACIFIC SEAFOODS			  ","FALSE PASS,AK","SHP","APICDA JOINT VENTURES, INC.			    ","302 GOLD ST SUITE 202","","JUNEAU","AK","99801"
"26030","THE FISH FACTORY, LLC				  ","HOMER,AK","SHP","MCCUNE, MICHAEL R 					   ","800 FISH DOCK RD","","HOMER","AK","99603"
"26247","NORTH PACIFIC SEAFOODS, INC			  ","TOGIAK,AK","SHP","NORTH PACIFIC SEAFOODS, INC			","4 NICKERSON ST SUITE 400","","SEATTLE","WA","98109"
"27444","TRIDENT SEAFOODS CORPORATION			  ","CHIGNIK,AK","SHP","TRIDENT SEAFOODS CORPORATION			 ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"27989","GLOBAL SEAFOODS NORTH AMERICA, LLC		  ","KODIAK,AK","SHP","GLOBAL SEAFOODS NORTH AMERICA, LLC		","1750 112TH AVE. NE B-221","","BELLEVUE","WA","98004"
"27991","S.E. ALASKA SMOKED SALMON CO., INC. DBA TAKU FIS ","JUNEAU,AK","SHP","BAUMGART, HANK						    ","2825 ROEDER AVENUE","","BELLINGHAM","WA","98225"
"28113","PETER PAN SEAFOODS, INC.			  ","DILLINGHAM,AK","SHP","PETER PAN SEAFOODS, INC.			    ","2200 6TH AVE, STE 1000","","SEATTLE","WA","98121"
"28197","FEE'S CUSTOM SEAFOODS				  ","WHITTIER, AK","SHP","FEE, EDWARD W 					       ","PO BOX 790","","WHITTIER","AK","99693"
"28721","COPPER RIVER SEAFOODS, INC.			  ","ANCHORAGE,AK","SHP","BLAKE, SCOTT A					       ","1118 E 5TH AVE","","ANCHORAGE","AK","99501"
"29504","YAKUTAT SEAFOODS, LLC				  ","YAKUTAT,AK","SHP","YAKUTAT SEAFOODS, LLC				 ","PO BOX 419","","YAKUTAT","AK","99689"
"29550","POLAR EQUIPMENT INC D.B.A. POLAR SEAFOODS	  ","SEWARD,AK","SHP","POLAR EQUIPMENT INC D.B.A. POLAR SEAFOODS	","1035 W NORTHERN LIGHTS BLVD","","ANCHORAGE","AK","99503"
"30032","ICICLE SEAFOODS, INC.				  ","EGEGIK,AK","SHP","ICICLE SEAFOODS, INC.				","PO BOX 79003","","SEATTLE","WA","98119"
"30131","SEA LEVEL SEAFOODS, LLC			  ","SEWARD,AK","SHP","SEA LEVEL SEAFOODS, LLC				","PO BOX 2085","","WRANGELL","AK","99929"
"30474","TRIDENT SEAFOODS CORPORATION			  ","NAKNEK,AK","SHP","TRIDENT SEAFOODS CORPORATION			","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30482","TRIDENT SEAFOODS CORPORATION			  ","PETERSBURG,AK","SHP","TRIDENT SEAFOODS CORPORATION 		    ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30483","TRIDENT SEAFOODS CORPORATION			  ","CORDOVA,AK","SHP","TRIDENT SEAFOODS CORPORATION			 ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30485","TRIDENT SEAFOODS CORPORATION			  ","KETCHIKAN,AK","SHP","TRIDENT SEAFOODS CORPORATION			   ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"30700","NOYES ISLAND SMOKEHOUSE			  ","CRAIG,AK","SHP","QUIGLEY, JAMES P						   ","PO BOX 80","","CRAIG","AK","99921"
"30877","ALASKA SEAFOOD SYSTEMS 			  ","KODIAK,AK","SHP","AHN, CHAN Y						    ","PO BOX 8750","","KODIAK","AK","99615"
"30883","OCEAN BEAUTY SEAFOODS LLC			  ","KODIAK,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			","PO BOX 1457","","KODIAK","AK","99615"
"30884","OCEAN BEAUTY SEAFOODS LLC			  ","ALITAK,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			","PO BOX 1457","","KODIAK","AK","99615"
"30885","OCEAN BEAUTY SEAFOODS LLC			  ","CORDOVA,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			 ","PO BOX 1457","","KODIAK","AK","99615"
"30886","OCEAN BEAUTY SEAFOODS LLC			  ","EXCURSION INLET,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			 ","PO BOX 1457","","KODIAK","AK","99615"
"30887","OCEAN BEAUTY SEAFOODS LLC			  ","NAKNEK,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			","PO BOX 1457","","KODIAK","AK","99615"
"30889","OCEAN BEAUTY SEAFOODS LLC			  ","PETERSBURG,AK","SHP","OCEAN BEAUTY SEAFOODS LLC			    ","PO BOX 1457","","KODIAK","AK","99615"
"30909","KODIAK FISHMEAL COMPANY			  ","KODIAK,AK","SHP","KODIAK FISHMEAL COMPANY				","915 GIBSON COVE ROAD","","KODIAK","AK","99615"
"31027","CORDOVA NORTH					  ","CORDOVA,AK","SHP","TRIDENT SEAFOODS CORPORATION			 ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"31134","PEP'S PACKING					  ","GUSTAVUS,AK","SHP","COBY-SCOTT, LAURA					      ","PO BOX 23","","GUSTAVUS","AK","99826"
"31203","INLET FISH PRODUCERS, INC.			  ","KASILOF,AK","SHP","THE RIVER COMPANY, LLC				 ","PO BOX 2589","","KENAI","AK","99611"
"31357","E.C. PHILLIPS & SON, INC.			  ","CRAIG,AK","SHP","E.C. PHILLIPS & SON, INC. 		       ","PO BOX 7095","","KETCHIKAN","AK","99901"
"31397","TRIDENT SEAFOODS CORPORATION			  ","ST PAUL ISLAND,AK","SHP","57 DEGREES NORTH, LLC				","1689 KNIK GOOSE BAY RD.","SUITE 500","WASILLA","AK","99654"
"31588","COPPER RIVER SEAFOODS - RETAIL LLC		  ","ANCHORAGE,AK","SHP","COPPER RIVER SEAFOODS, INC.			   ","1118 E 5TH AVENUE","","ANCHORAGE","AK","99501"
"31589","TRIDENT SEAFOODS CORPORATION			  ","WRANGELL,AK","SHP","TRIDENT SEAFOODS CORPORATION			  ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"31991","TOGIAK SEAFOODS LLC				  ","TOGIAK,AK","SHP","TOGIAK SEAFOODS LLC				","1118 E 5TH AVE","","ANCHORAGE","AK","99501"
"32332","ICICLE SEAFOODS, INC.				  ","LARSEN BAY,AK","SHP","ICICLE SEAFOODS, INC.			    ","PO BOX 79003","","SEATTLE","WA","98119"
"32684","SUN'AQ TRIBAL ENTERPRISES INC			  ","KODIAK,AK","SHP","SUN'AQ TRIBAL ENTERPRISES INC			","312 W. MARINE WAY","","KODIAK","AK","99615"
"32824","COPPER RIVER SEAFOODS, INC.			  ","KENAI,AK","SHP","COPPER RIVER SEAFOODS, INC.		       ","1118 E 5TH AVENUE","","ANCHORAGE","AK","99501"
"32926","TRIDENT SEAFOODS CORPORATION			  ","ST PAUL ISLAND,AK","SHP","170 DEGREES WEST LLC				","1689 KNIK GOOSE BAY RD SUITE 500","","WASILLA","AK","99654"
"32927","HOONAH COLD STORAGE				  ","HOONAH,AK","SHP","BAUMGART, HANK						    ","2825 ROEDER AVENUE","","BELLINGHAM","WA","98225"
"32928","PICKLED WILLYS, LLC				  ","KODIAK,AK","SHP","PICKLED WILLYS, LLC				","328 B SHELIKOF ST","","KODIAK","AK","99615"
"33603","SEA ALEUTIANS SEAFOODS, LLC			  ","DUTCH HARBOR,AK","SHP","DINH, TUYEN						  ","PO BOX 920186","","DUTCH HARBOR","AK","99692"
"33659","FISH FROM TRISH				  ","KETCHIKAN,AK","SHP","PEARSON, TRISHA E					       ","PO BOX 506","","WARD COVE","AK","99928"
"33697","HART SALES CORP				  ","ADAK,AK","SHP","HARTMAN, PETER						  ","1230 LYALL ST","","VICTORIA","BC","V9A 5G9"
"33746","NORTHERN FISH ALASKA LLC			  ","CORDOVA,AK","SHP","SWANES, JOHN R						     ","PO BOX 9615","","TACOMA","WA","98409"
"33919","ALASKA WILD SEAFOODS LLC			  ","CORDOVA, AK","SHP","VU, THAI M						      ","PO BOX 1502","","CORDOVA","AK","99574"
"33956","HOME PORT SEAFOODS INC 			  ","BELLINGHAM, WA","SHP","BINSCHUS, GLEN						 ","2875 ROEDER AVE #11","","BELLINGHAM","WA","98225"
"33957","COASTAL VILLAGES CRAB LLC			  ","ANCHORAGE, AK","SHP","COASTAL VILLAGES CRAB LLC			    ","711 H STREET SUITE 200","","ANCHORAGE","AK","99501"
"33969","TRIDENT SEAFOODS CORPORATION			  ","KODIAK,AK","SHP","TRIDENT SEAFOODS CORPORATION			","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"33980","YAKOBI FISHERIES LLC				  ","PELICAN, AK","SHP","YAKOBI FISHERIES LLC				  ","PO BOX 13","","PELICAN","AK","99832"
"34070","COPPER RIVER SEAFOODS, INC.			  ","CORDOVA,AK","SHP","COPPER RIVER SEAFOODS, INC.			 ","1118 E 5TH AVENUE","","ANCHORAGE","AK","99501"
"34140","SITKA SALMON ALASKA HOLDINGS LLC		  ","SITKA, AK","SHP","SITKA SALMON ALASKA HOLDINGS LLC 		","216 SMITH ST #B","","SITKA","AK","99835"
"34150","HOLLIS BAY SEAFOODS				  ","CRAIG, AK","SHP","ADKISON, GARY A JR					    ","PO BOX 873","","CRAIG","AK","99921"
"34151","HOLLIS BAY SEAFOODS				  ","CRAIG, AK","SHP","HOLLIS BAY SEAFOODS				","PO BOX 873","","CRAIG","AK","99921"
"5299","SEWARD FISHERIES				 ","SEWARD,AK","SHP","ICICLE SEAFOODS, INC.			       ","PO BOX 79003","","SEATTLE","WA","98119"
"5300","PETERSBURG FISHERIES SUBSIDIARY ICICLE SEAFOODS  ","PETERSBURG,AK","SHP","ICICLE SEAFOODS, INC. 			   ","PO BOX 79003","","SEATTLE","WA","98119"
"5303","ATKA PRIDE SEAFOODS, INC.			 ","ATKA,AK","SHP","APICDA JOINT VENTURES, INC. 		     ","302 GOLD ST SUITE 202","","JUNEAU","AK","99801"
"5305","TRIDENT SEAFOODS CORPORATION			 ","SAND POINT,AK","SHP","TRIDENT SEAFOODS CORPORATION			   ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"5306","TRIDENT SEAFOODS CORPORATION			 ","AKUTAN,AK","SHP","TRIDENT SEAFOODS CORPORATION		       ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"5307","TRIDENT SEAFOODS CORPORATION			 ","ST PAUL ISLAND,AK","SHP","TRIDENT SEAFOODS CORPORATION		       ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"5310","UNISEA, INC.					 ","DUTCH HARBOR,AK","SHP","UNISEA, INC.				     ","PO BOX 97019","","REDMOND","WA","98073-9719"
"5320","ALYESKA SEAFOODS, INC.				 ","UNALASKA,AK","SHP","ALYESKA SEAFOODS, INC.				 ","2101 4TH AVE SUITE 1700","","SEATTLE","WA","98121-2377"
"5323","WESTWARD SEAFOODS, INC. 			 ","DUTCH HARBOR,AK","SHP","WESTWARD SEAFOODS, INC.			     ","2101 4TH AVE STE 1700","","SEATTLE","WA","98121"
"5342","NORTH PACIFIC SEAFOODS, INC			 ","KODIAK,AK","SHP","NORTH PACIFIC SEAFOODS, INC		       ","4 NICKERSON ST SUITE 400","","SEATTLE","WA","98109"
"5344","PACIFIC SALMON COMPANY, INC.			 ","EDMONDS,WA","SHP","PACIFIC SALMON COMPANY, INC.			","21630 98TH AVE W","","EDMONDS","WA","98020"
"5346","NORTH PACIFIC SEAFOODS, INC			 ","SITKA,AK","SHP","NORTH PACIFIC SEAFOODS, INC		      ","4 NICKERSON ST SUITE 400","","SEATTLE","WA","98109"
"5357","PETER PAN SEAFOODS, INC.			 ","VALDEZ,AK","SHP","PETER PAN SEAFOODS, INC.			       ","2200 6TH AVE, STE 1000","","SEATTLE","WA","98121"
"5358","PETER PAN SEAFOODS, INC.			 ","KING COVE,AK","SHP","PETER PAN SEAFOODS, INC.			  ","2200 6TH AVE, STE 1000","","SEATTLE","WA","98121"
"5371","SEAFOOD PRODUCERS COOPERATIVE			 ","SITKA,AK","SHP","SEAFOOD PRODUCERS COOPERATIVE		      ","2875 ROEDER AVE - SUITE #2","","BELLINGHAM","WA","98225"
